Count of Throughput,Column Labels,,,,,,,,,,
Row Labels,Met_Requirement,Not_Met,Grand Total,,,,,,,,
1,802,1698,2500,0.3208,,,1,802,1698,2500,0.3208
2,838,1662,2500,0.3352,,,2,838,1662,2500,0.3352
3,837,1663,2500,0.3348,,,3,837,1663,2500,0.3348
4,818,1682,2500,0.486325803,,,4,818,1682,2500,0.3272
5,812,1688,2500,,,,5,812,1688,2500,0.3248
6,827,1673,2500,,,,6,827,1673,2500,0.3308
7,855,1645,2500,,,,7,855,1645,2500,0.342
8,818,1682,2500,,,,8,818,1682,2500,0.3272
9,863,1637,2500,,,,9,863,1637,2500,0.3452
10,1756,744,2500,,,,10,1756,744,2500,0.7024
11,1763,737,2500,,,,11,1763,737,2500,0.7052
12,1761,739,2500,,,,12,1761,739,2500,0.7044
13,1754,746,2500,,,,13,1754,746,2500,0.7016
14,1746,754,2500,,,,14,1746,754,2500,0.6984
15,1730,770,2500,,,,15,1730,770,2500,0.692
16,1699,801,2500,,,,16,1699,801,2500,0.6796
17,1755,745,2500,,,,17,1755,745,2500,0.702
18,1766,734,2500,,,,18,1766,734,2500,0.7064
19,329,2171,2500,,,,19,329,2171,2500,0.1316
20,355,2145,2500,,,,20,355,2145,2500,0.142
21,377,2123,2500,,,,21,377,2123,2500,0.1508
22,362,2138,2500,,,,22,362,2138,2500,0.1448
23,382,2118,2500,,,,23,382,2118,2500,0.1528
24,358,2142,2500,,,,24,358,2142,2500,0.1432
25,373,2127,2500,,,,25,373,2127,2500,0.1492
26,370,2130,2500,,,,26,370,2130,2500,0.148
27,380,2120,2500,,,,27,380,2120,2500,0.152
28,354,2146,2500,,,,28,354,2146,2500,0.1416
29,388,2112,2500,,,,29,388,2112,2500,0.1552
30,392,2108,2500,,,,30,392,2108,2500,0.1568
31,376,2124,2500,,,,31,376,2124,2500,0.1504
32,392,2108,2500,,,,32,392,2108,2500,0.1568
33,369,2131,2500,,,,33,369,2131,2500,0.1476
34,383,2117,2500,,,,34,383,2117,2500,0.1532
35,364,2136,2500,,,,35,364,2136,2500,0.1456
36,404,2096,2500,,,,36,404,2096,2500,0.1616
Grand Total,29908,60092,90000,,,,,,,,
