Count of Throughput,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,Met_Requirement,Not_Met,Grand Total,,,,,,,,,Run,Machines,Operators,Product_Mix,Met_Yield,Not_Met_Yield,Total Count,Throughput
1,7413,15087,22500,0.329466667,,,,,,,,1,_10,10,1,1665,835,2500,0.666
2,15794,6706,22500,0.701955556,,,,,,,,2,25,10,1,1667,833,2500,0.6668
3,3390,19110,22500,0.177394035,,,,,,,,3,33,10,1,1665,835,2500,0.666
4,3389,19111,22500,0.177332426,,,,,,,,4,10,5,1,1637,863,2500,0.6548
Grand Total,29986,60014,90000,,,,,,,,,5,25,5,1,1691,809,2500,0.6764
,,,,,,,,,,,,6,33,5,1,1654,846,2500,0.6616
,,,,,,,,,,,,7,10,2,1,1621,879,2500,0.6484
,,,,,,,,,,,,8,25,2,1,1619,881,2500,0.6476
,,,,,,,,,,,,9,33,2,1,1704,796,2500,0.6816
,,,,,,,,,,,,10,10,10,2,2140,360,2500,0.856
,,,,,,,,,,,,11,25,10,2,2129,371,2500,0.8516
,,,,,,,,,,,,12,33,10,2,2115,385,2500,0.846
,,,,,,,,,,,,13,10,5,2,2151,349,2500,0.8604
,,,,,,,,,,,,14,25,5,2,2152,348,2500,0.8608
,,,,,,,,,,,,15,33,5,2,2117,383,2500,0.8468
,,,,,,,,,,,,16,10,2,2,2117,383,2500,0.8468
,,,,,,,,,,,,17,25,2,2,2120,380,2500,0.848
,,,,,,,,,,,,18,33,2,2,2122,378,2500,0.8488
,,,,,,,,,,,,19,10,10,3,756,1744,2500,0.3024
,,,,,,,,,,,,20,25,10,3,761,1739,2500,0.3044
,,,,,,,,,,,,21,33,10,3,730,1770,2500,0.292
,,,,,,,,,,,,22,10,5,3,719,1781,2500,0.2876
,,,,,,,,,,,,23,25,5,3,730,1770,2500,0.292
,,,,,,,,,,,,24,33,5,3,764,1736,2500,0.3056
,,,,,,,,,,,,25,10,2,3,746,1754,2500,0.2984
,,,,,,,,,,,,26,25,2,3,744,1756,2500,0.2976
,,,,,,,,,,,,27,33,2,3,750,1750,2500,0.3
,,,,,,,,,,,,28,10,10,4,2160,340,2500,0.864
,,,,,,,,,,,,29,25,10,4,2125,375,2500,0.85
,,,,,,,,,,,,30,33,10,4,2116,384,2500,0.8464
,,,,,,,,,,,,31,10,5,4,2096,404,2500,0.8384
,,,,,,,,,,,,32,25,5,4,2145,355,2500,0.858
,,,,,,,,,,,,33,33,5,4,2117,383,2500,0.8468
,,,,,,,,,,,,34,10,2,4,2114,386,2500,0.8456
,,,,,,,,,,,,35,25,2,4,2141,359,2500,0.8564
,,,,,,,,,,,,36,33,2,4,2118,382,2500,0.8472
